event_id,event_title,event_date,article_count,unique_outlet_count,outlets_covering,representative_headline,event_summary,cluster_confidence,is_low_quality_event
EVT_00060,'Southern states will be stifled': Opposition unites in flagging concerns on delimitation,2026-04-15,3,3,"['deccan_herald', 'hindustan_times', 'news18']",'Southern states will be stifled': Opposition unites in flagging concerns on delimitation,"‘Anti-national’: Opposition vows unity to defeat govt's proposal for Lok Sabha expansion
The government is set to introduce three bills –The Delimitation Bill, 2026, The Constitution Bill, 2026, and the Union Territories Laws (Amendment) Bill 2026
Opposition parties on Wednesday vowed unity to defea...",0.56,False
EVT_00238,"- India and Japan signed key defence, technology and investment agreements to deepen strategic ties.",2026-07-02,3,3,"['the_times_of_india', 'hindustan_times', 'firstpost']","- India and Japan signed key defence, technology and investment agreements to deepen strategic ties.","India, Japan deepen defence, AI, energy ties; finalise economic roadmap
Japanese PM Sanae Takaichi , on her first visit to India since becoming PM, joined Modi for the 16th annual India-Japan Summit.
India and Japan on Thursday unveiled measures to expand cooperation in defence, energy security, rar...",0.55,False
EVT_00504,"The Delhi High Court on Wednesday (July 16, 2026) directed the Centre and the Delhi government to ensure that climate activist Sonam Wangchuk’s medical condition is “clinically and otherwise” monitored on a daily basis and that any medical interventi...",2026-07-15,3,3,"['the_times_of_india', 'the_hindu', 'hindustan_times']","The Delhi High Court on Wednesday (July 16, 2026) directed the Centre and the Delhi government to ensure that climate activist Sonam Wangchuk’s medical condition is “clinically and otherwise” monitored on a daily basis and that any medical interventi...","Delhi high court orders daily medical check-up for Sonam Wangchuk amid continued hunger strike
Wangchuk, 59, has been on a hunger strike since June 28 as part of a protest organised by CJP, demanding the resignation education minister Dharmendra Pradhan
The Delhi High Court on Thursday directed the ...",0.55,False
EVT_00632,"<p>In yet another setback for <a href=""https://deccanherald.com/tags/tmc"">Trinamool Congress</a> (TMC) supremo Mamata Banerjee, its MP Koel Mallick has resigned from the Rajya Sabha.</p><p>According to reports, she met Vice President and Rajya Sabha ...",2026-07-16,3,3,"['deccan_herald', 'india_today', 'hindustan_times']","<p>In yet another setback for <a href=""https://deccanherald.com/tags/tmc"">Trinamool Congress</a> (TMC) supremo Mamata Banerjee, its MP Koel Mallick has resigned from the Rajya Sabha.</p><p>According to reports, she met Vice President and Rajya Sabha ...","TMC MP Koel Mallick resigns from Rajya Sabha in fresh blow to Mamata Banerjee
Koel Mallick's resignation from Rajya Sabha comes a day after TMC MLA Madan Mitra joined the rebel camp in West Bengal legislative assembly on Wednesday.
In fresh blow to former West Bengal chief minister Mamata Banerjee, ...",0.55,False
EVT_01916,"Twenty-two children have died due to Chandipura virus (CHPV) infection in Gujarat this monsoon season, with seven others currently undergoing treatment, State Health Minister Praful Panseriya said on Monday (August 3, 2026).",2026-08-03,3,3,"['india_today', 'the_hindu', 'hindustan_times']","Twenty-two children have died due to Chandipura virus (CHPV) infection in Gujarat this monsoon season, with seven others currently undergoing treatment, State Health Minister Praful Panseriya said on Monday (August 3, 2026).","22 children die of Chandipura virus in Gujarat, 7 under treatment
Gujarat Health Minister Praful Panseriya said all confirmed patients are below the age of 15 and clarified that the infections are not concentrated in any one village or district.
The Chandipura virus has claimed the lives of 22 child...",0.52,False
EVT_00055,"Details of 'sexual harassment' of employees at TCS-linked BPO shared with NIA, ATS: Nashik Police",2026-04-15,3,3,"['firstpost', 'hindustan_times', 'india_today']","Details of 'sexual harassment' of employees at TCS-linked BPO shared with NIA, ATS: Nashik Police","Malaysia link emerges in probe at Tata Consultancy Services Nashik unit, where undercover cops exposed alleged harassment and conversion racket with digital evidence pointing to wider network

This image features the entrance of a Tata Consultancy Services (TCS) facility, specifically identifying it...",0.51,False
EVT_00652,"The Delhi Police was instructed by the Union government to shift activist Sonam Wangchuk from the protest site at Jantar Mantar due to the upcoming Monsoon session of the Parliament, which commences on Monday (July 20, 2026), government sources said.",2026-07-16,3,3,"['india_today', 'hindustan_times', 'the_hindu']","The Delhi Police was instructed by the Union government to shift activist Sonam Wangchuk from the protest site at Jantar Mantar due to the upcoming Monsoon session of the Parliament, which commences on Monday (July 20, 2026), government sources said.","'Not in good shape but…': Sonam Wangchuk refuses to end fast, calls for Parliament march
The Delhi High Court is scheduled to hear on Thursday a public interest litigation expressing concern over Wangchuk's deteriorating health.
Climate activist Sonam Wangchuk, in a latest video message, said he wou...",0.51,False
EVT_01907,Parliament Monsoon Session LIVE Updates | FM to introduce Taxation & Other Laws (Amendment) Bill as LS takes up key financial business,2026-08-03,5,3,"['hindustan_times', 'deccan_herald', 'india_today']",Parliament Monsoon Session LIVE Updates | FM to introduce Taxation & Other Laws (Amendment) Bill as LS takes up key financial business,"Parliament news LIVE: Sitharaman to introduce taxation bill in Lok Sabha; Congress seeks discussion on defection law
Parliament news LIVE: Congress MP Manish Tewari sought the suspension of Question Hour, Zero Hour, and all other listed business of the day to discuss the need for a new anti-defectio...",0.5,False
EVT_01973,‘Zuckerberg intends to destabilise India’: Parliament panel chief demands apology from Meta boss over PM post row,2026-08-03,5,3,"['india_today', 'hindustan_times', 'the_times_of_india']",‘Zuckerberg intends to destabilise India’: Parliament panel chief demands apology from Meta boss over PM post row,"'Zuckerberg should apologise': Parliament panel chief seeks action over removal of PM Modi's Facebook video
Edited by: Ayush Pandey / TIMESOFINDIA.COM / Updated: Aug 03, 2026, 20:01 IST
Comments
Share
AA
Text Size
Small
Medium
Large
Meta apologises before Parliament panel over removal of PM Modi's F...",0.5,False
EVT_00335,"The Supreme Court on Friday (July 3, 2026) refused to stay the bail granted to Sonam Raghuvanshi, who was arrested in connection with the May 23 murder of her newlywed husband, Indore-based businessman Raja Raghuvanshi, during their honeymoon in the ...",2026-07-03,3,3,"['the_hindu', 'the_times_of_india', 'hindustan_times']","The Supreme Court on Friday (July 3, 2026) refused to stay the bail granted to Sonam Raghuvanshi, who was arrested in connection with the May 23 murder of her newlywed husband, Indore-based businessman Raja Raghuvanshi, during their honeymoon in the ...","The Supreme Court on Friday (July 3, 2026) refused to stay the bail granted to Sonam Raghuvanshi, who was arrested in connection with the May 23 murder of her newlywed husband, Indore-based businessman Raja Raghuvanshi, during their honeymoon in the hill State. While the court acknowledged that the ...",0.48,False
EVT_02175,"NEW DELHI: Centre Tuesday told Supreme Court that while the proposal to shift NEET from pen-and-paper mode to computer-based mode is under consideration, the final decision will be taken only after getting the report of the Nandan Nilekani-led high-p...",2026-08-04,3,3,"['india_today', 'hindustan_times', 'the_times_of_india']","NEW DELHI: Centre Tuesday told Supreme Court that while the proposal to shift NEET from pen-and-paper mode to computer-based mode is under consideration, the final decision will be taken only after getting the report of the Nandan Nilekani-led high-p...","Supreme Court proposes no fuel for uninsured vehicles, seeks Centre's plan
The top court also ordered a technology-driven enforcement mechanism to automatically identify and penalise such vehicles without an insurance.
The Supreme Court on Tuesday directed the Centre and the Insurance Regulatory and...",0.48,False
EVT_00065,"‘Credit ka blank cheque’: PM Modi jibes at Oppn over women's quota bill, says ‘ready to give advertisement to anyone’",2026-04-16,3,3,"['india_today', 'hindustan_times', 'news18']","‘Credit ka blank cheque’: PM Modi jibes at Oppn over women's quota bill, says ‘ready to give advertisement to anyone’","How PM Modi turned debate on women's quota into a dare for opposition
During the debate on the Women's Reservation Act, PM Modi adopted a classic strategy to corner the opposition. PM Modi framed the issue of women's quota as both a moral obligation and a political acid test, thereby raising the sta...",0.47,False
EVT_00835,"Japan will provide its next-generation E10 series Shinkansen trains to India for the Mumbai-Ahmedabad High-Speed Rail (MAHSR) project, official spokespersons in the Ministries of External Affairs and Railways said on Friday, addressing queries on the...",2026-07-17,3,3,"['india_today', 'the_hindu', 'hindustan_times']","Japan will provide its next-generation E10 series Shinkansen trains to India for the Mumbai-Ahmedabad High-Speed Rail (MAHSR) project, official spokespersons in the Ministries of External Affairs and Railways said on Friday, addressing queries on the...","Self-explainatory: India rejects Pak protest over Japan joint statement on terrorism
India said the India-Japan joint statement naming cross-border terrorism from Pakistan was self-explanatory. The response underlined shared security concerns with Tokyo and rejected Islamabad's protest.
India on Fri...",0.47,False
EVT_01502,"'Girls' clothes torn, heads broken': CJP founder demands PM Modi apology over police action on July 20th",2026-08-01,3,3,"['the_times_of_india', 'india_today', 'hindustan_times']","'Girls' clothes torn, heads broken': CJP founder demands PM Modi apology over police action on July 20th","FIR not withdrawn despite apology: Mother of girl who abused PM seeks protection
Days after the 15-year-old apologised for using derogatory language against PM Modi, her mother said that the FIR against her has not been withdrawn despite her being a minor. If Prime Minister Modi has forgiven her, th...",0.47,False
EVT_02192,"Supreme Court urged prompt action against cyber fraudsters, while noting a reduction in incidents. Authorities were directed to expedite decisions on a 'kill switch' for phones. Monies transferred to mule accounts will be placed on hold by banks. Vic...",2026-08-04,3,3,"['india_today', 'the_times_of_india', 'hindustan_times']","Supreme Court urged prompt action against cyber fraudsters, while noting a reduction in incidents. Authorities were directed to expedite decisions on a 'kill switch' for phones. Monies transferred to mule accounts will be placed on hold by banks. Vic...","Supreme Court tightens rules to curb 'digital arrests', RBI to frame SOPs to deal with mule bank accounts
The RBI has been asked to prepare a comprehensive SOP for dealing with bank accounts opened or used to receive and transfer proceeds of cyber fraud.
The Supreme Court on Tuesday stepped up its o...",0.47,False
EVT_00962,"New Delhi: The BJP’s central leadership is keen on bringing in the two NCP factions—NCP and NCP (Sharadchandra Pawar)—as a single entity within the NDA fold, senior BJP functionaries told ThePrint.",2026-07-17,3,3,"['theprint', 'indian_express', 'hindustan_times']","New Delhi: The BJP’s central leadership is keen on bringing in the two NCP factions—NCP and NCP (Sharadchandra Pawar)—as a single entity within the NDA fold, senior BJP functionaries told ThePrint.","New Delhi: The BJP’s central leadership is keen on bringing in the two NCP factions—NCP and NCP (Sharadchandra Pawar)—as a single entity within the NDA fold, senior BJP functionaries told ThePrint.
This, they said, would also help the BJP shore up its numbers in Parliament, especially when it needs ...",0.46,False
EVT_01258,"As the student protests over paper leaks spread across different States and snowballed into a major political crisis for the Narendra Modi government, Dharmendra Pradhan resigned as the Education Minister on Saturday (July 25, 2026), prompting the Co...",2026-07-25,3,3,"['the_hindu', 'the_times_of_india', 'hindustan_times']","As the student protests over paper leaks spread across different States and snowballed into a major political crisis for the Narendra Modi government, Dharmendra Pradhan resigned as the Education Minister on Saturday (July 25, 2026), prompting the Co...","NEW DELHI: 
Dharmendra Pradhan resigned on Saturday as Union education minister, taking moral responsibility for the NEET-UG paper leak controversy that has shaken the country's examination system, sparked mass student protests and triggered political confrontations.
In his resignation letter to Pri...",0.46,False
EVT_01571,"The death toll in rainfall-related incidents in Kerala rose to 11 by Sunday, even as more than 7,600 people were evacuated to relief camps across the State, the State government said.",2026-08-01,3,3,"['hindustan_times', 'the_hindu', 'the_times_of_india']","The death toll in rainfall-related incidents in Kerala rose to 11 by Sunday, even as more than 7,600 people were evacuated to relief camps across the State, the State government said.","Six dead as heavy rain batters Kerala, rescue operations continue
Four of the deaths occurred in separate landslides in Idukki and Kottayam districts, where several others were rescued.
Heavy rains lashed several parts of Kerala on Saturday, triggering landslides, inundating low-lying areas, swellin...",0.45,False
EVT_00045,"Chennai: Tamil Nadu Chief Minister and DMK president M. K. Stalin Wednesday announced a black flag protest across Tamil Nadu Thursday against the Centre’s proposed delimitation exercise under the Constitutional Amendment Bill 2026. The announcement, ...",2026-04-15,3,3,"['theprint', 'the_hindu', 'the_new_indian_express']","Chennai: Tamil Nadu Chief Minister and DMK president M. K. Stalin Wednesday announced a black flag protest across Tamil Nadu Thursday against the Centre’s proposed delimitation exercise under the Constitutional Amendment Bill 2026. The announcement, ...","Chennai: Tamil Nadu Chief Minister and DMK president M. K. Stalin Wednesday announced a black flag protest across Tamil Nadu Thursday against the Centre’s proposed delimitation exercise under the Constitutional Amendment Bill 2026. The announcement, made in a video on X, came after a meeting with DM...",0.44,False
EVT_00062,"NEW DELHI: External affairs minister S Jaishankar Wednesday underlined India's strong commitment to safe and unimpeded transit passage of maritime shipping, saying attacks on merchant shipping were completely unacceptable.",2026-04-15,3,3,"['firstpost', 'the_times_of_india', 'hindustan_times']","NEW DELHI: External affairs minister S Jaishankar Wednesday underlined India's strong commitment to safe and unimpeded transit passage of maritime shipping, saying attacks on merchant shipping were completely unacceptable.","India’s External Affairs Minister S. Jaishankar on Wednesday said that attacks on merchant vessels are “completely unacceptable.” His remarks came during the ‘Azec Plus’ meeting hosted by Japan.

Jaishankar said that India remains strongly committed to ensuring safe and smooth passage for maritime s...",0.44,False
EVT_00334,"Shiv Sena (UBT) chief Uddhav Thackeray on Friday (July 3, 2026) announced a “Ram Raksha” agitation in Maharashtra from July 5, urging people to join the protest to hold the BJP accountable for the alleged embezzlement of donations at the revered Ayod...",2026-07-03,3,3,"['the_times_of_india', 'the_hindu', 'hindustan_times']","Shiv Sena (UBT) chief Uddhav Thackeray on Friday (July 3, 2026) announced a “Ram Raksha” agitation in Maharashtra from July 5, urging people to join the protest to hold the BJP accountable for the alleged embezzlement of donations at the revered Ayod...","Shiv Sena (UBT) chief Uddhav Thackeray on Friday (July 3, 2026) announced a “Ram Raksha” agitation in Maharashtra from July 5, urging people to join the protest to hold the BJP accountable for the alleged embezzlement of donations at the revered Ayodhya temple.
Mr. Thackeray said they will gather at...",0.42,False
EVT_01530,"A joint operation by the Army’s Intelligence units and the Rajasthan Police has uncovered a counterfeit military combat uniform racket in Rajasthan’s Sriganganagar district, leading to the seizure of nearly 1,000 metres of unauthorised Army-pattern c...",2026-08-01,3,3,"['the_hindu', 'hindustan_times', 'india_today']","A joint operation by the Army’s Intelligence units and the Rajasthan Police has uncovered a counterfeit military combat uniform racket in Rajasthan’s Sriganganagar district, leading to the seizure of nearly 1,000 metres of unauthorised Army-pattern c...","Illegal sale of unauthorised army-pattern combat clothes busted in Rajasthan's Sriganganagar
The Indian army had earlier secured a patent for a new combat uniform unveiled in 2022 to prevent unauthorised sale and misuse.
In a joint operation targeting the illegal sale of battle fatigues, the Indian ...",0.42,False
EVT_00561,"NEW DELHI: India's maritime regulator, Directorate General of Shipping, has directed shipowners, ship managers and recruitment and placement service (RPS) agencies to avoid deploying Indian seafarers on vessels transiting the Strait of Hormuz until f...",2026-07-15,4,3,"['hindustan_times', 'india_today', 'the_times_of_india']","NEW DELHI: India's maritime regulator, Directorate General of Shipping, has directed shipowners, ship managers and recruitment and placement service (RPS) agencies to avoid deploying Indian seafarers on vessels transiting the Strait of Hormuz until f...","India to account for each seafarer irrespective of vessel flag: Govt's big announcement after sailor killed in Hormuz
The move comes amid an escalating maritime security crisis in West Asia following attacks on two merchant vessels in the Strait of Hormuz.
Emphasising the welfare of seafarers amidst...",0.41,False
EVT_01596,"BJP State president Nainar Nagenthran on Sunday charged that whenever the Congress was elected to power in Karnataka, the farmers of Tamil Nadu were cheated. He also rejected the claims made by Tamil Nadu Congress Committee president B. Manickam Tago...",2026-08-01,3,3,"['hindustan_times', 'the_hindu', 'deccan_herald']","BJP State president Nainar Nagenthran on Sunday charged that whenever the Congress was elected to power in Karnataka, the farmers of Tamil Nadu were cheated. He also rejected the claims made by Tamil Nadu Congress Committee president B. Manickam Tago...","Karnataka cabinet expansion likely next week, Congress govt to finalise list by Sunday
Congress set to finalize the Karnataka Cabinet expansion. Discussions focused on ensuring representation across various communities and balancing young leaders.
The Congress high command is expected to settle the ...",0.4,False
EVT_01878,"After days of deliberations and lobbying, the much-awaited Cabinet expansion is likely to take place on Monday evening with the Karnataka government learnt to have informally sought time from Governor Thaawarchand Gehlot for the swearing-in of new Mi...",2026-08-03,3,3,"['the_times_of_india', 'the_hindu', 'theprint']","After days of deliberations and lobbying, the much-awaited Cabinet expansion is likely to take place on Monday evening with the Karnataka government learnt to have informally sought time from Governor Thaawarchand Gehlot for the swearing-in of new Mi...","Bengaluru: The outpouring of dissent within Karnataka’s ruling Congress over the latest Cabinet expansion spilled into a second straight day Tuesday, with several senior and prominent leaders blaming infighting among top leaders and even the party high command for their exclusion from D.K. Shivakuma...",0.4,False
EVT_00064,"Bill burnt, black flags raised: How Opposition pushed back against 3 key bills introduced in Parliament",2026-04-16,3,3,"['indian_express', 'hindustan_times', 'news18']","Bill burnt, black flags raised: How Opposition pushed back against 3 key bills introduced in Parliament","Amid firestorm over delimitation, why Parliament should rise to clear women’s quota
Will Parliament, Treasury camp and Opposition show wisdom and statesmanship to resolve the impasse? Or will women of India have to wait for another 30 years to get their due share? That is the heart of the matter.
Th...",0.38,True
EVT_01839,"New Delhi: More than half of the overall respondents of the latest snap poll by CVoter were not satisfied with Modi government’s handling of the paper leaks issue, the polling agency said in a statement Sunday. This number was 40 percent among NDA vo...",2026-08-02,3,3,"['theprint', 'deccan_herald', 'the_times_of_india']","New Delhi: More than half of the overall respondents of the latest snap poll by CVoter were not satisfied with Modi government’s handling of the paper leaks issue, the polling agency said in a statement Sunday. This number was 40 percent among NDA vo...","New Delhi: More than half of the overall respondents of the latest snap poll by CVoter were not satisfied with Modi government’s handling of the paper leaks issue, the polling agency said in a statement Sunday. This number was 40 percent among NDA voters.
The polling agency added that PM Narendra Mo...",0.38,True
EVT_01459,"Kolkata: Exiled Bangladeshi author Taslima Nasreen on Sunday drew a parallel between Delhi's CJP-led protest against exam irregularities and the 2024 stir that ousted Sheikh Hasina's Awami League regime and said the student movement in Dhaka ""fooled ...",2026-07-31,3,3,"['the_times_of_india', 'hindustan_times', 'deccan_herald']","Kolkata: Exiled Bangladeshi author Taslima Nasreen on Sunday drew a parallel between Delhi's CJP-led protest against exam irregularities and the 2024 stir that ousted Sheikh Hasina's Awami League regime and said the student movement in Dhaka ""fooled ...","‘Took me 19 years to say I have returned to Kolkata’: Exiled Bangladeshi author Taslima Nasrin
Nasrin returned to Kolkata after more than 18 years, after she was forced to leave in November 2007 by the then Left Front government.
Just like history remembers who closed the door on you, it also rememb...",0.37,True
EVT_00211,"New Delhi: The Cockroach Janta Party (CJP), which has projected itself as a citizens’ movement for educational reforms and accountability in government, is increasingly drawing political attention, even as its founder Abhijeet Dipke maintains the CJP...",2026-06-30,3,3,"['theprint', 'the_times_of_india', 'hindustan_times']","New Delhi: The Cockroach Janta Party (CJP), which has projected itself as a citizens’ movement for educational reforms and accountability in government, is increasingly drawing political attention, even as its founder Abhijeet Dipke maintains the CJP...","New Delhi: The Cockroach Janta Party (CJP), which has projected itself as a citizens’ movement for educational reforms and accountability in government, is increasingly drawing political attention, even as its founder Abhijeet Dipke maintains the CJP has no electoral ambitions, and its only agenda i...",0.36,True
EVT_01262,Dharmendra Pradhan resigns LIVE: Amit Shah says ‘students more important than positions’; police clear protest site,2026-07-25,5,3,"['india_today', 'hindustan_times', 'the_times_of_india']",Dharmendra Pradhan resigns LIVE: Amit Shah says ‘students more important than positions’; police clear protest site,"Dharmendra Pradhan resigns LIVE: Amit Shah says ‘students more important than positions’; police clear protest site
Dharmendra Pradhan resigns LIVE: Celebratory scenes appeared at the Jantar Mantar protest site soon after education minister Dharmendra Pradhan tendered his resignation on Saturday.
- ...",0.36,True
